"Date","Price","Open","High","Low","Vol.","Change %"
"08/22/2025","4,441.084","4,402.355","4,454.683","4,379.964","","0.88%"
"08/21/2025","4,402.512","4,404.392","4,406.576","4,377.248","","-0.04%"
"08/20/2025","4,404.392","4,357.977","4,412.444","4,354.858","","1.06%"
"08/19/2025","4,358.059","4,378.235","4,398.099","4,356.396","","-0.46%"
"08/18/2025","4,378.276","4,374.813","4,416.843","4,374.603","","0.08%"
"08/17/2025","4,374.731","4,386.404","4,386.573","4,369.608","","-0.18%"
"08/15/2025","4,382.803","4,379.498","4,401.367","4,376.003","","0.07%"
"08/14/2025","4,379.580","4,409.813","4,425.109","4,367.370","","-0.68%"
"08/13/2025","4,409.731","4,389.350","4,415.936","4,378.544","","0.47%"
"08/12/2025","4,389.065","4,385.085","4,397.791","4,362.515","","0.17%"
"08/11/2025","4,381.724","4,444.041","4,445.551","4,362.308","","-1.42%"
"08/10/2025","4,444.747","4,457.523","4,457.523","4,444.666","","0.01%"
"08/08/2025","4,444.329","4,437.843","4,454.054","4,419.664","","-0.21%"
"08/07/2025","4,453.698","4,405.657","4,456.512","4,400.538","","1.11%"
"08/06/2025","4,405.012","4,424.727","4,425.397","4,390.635","","-0.42%"
"08/05/2025","4,423.787","4,418.762","4,432.640","4,380.492","","0.12%"
"08/04/2025","4,418.681","4,397.462","4,427.414","4,375.085","","0.49%"
"08/03/2025","4,397.341","4,402.152","4,402.152","4,388.056","","0.06%"
"08/01/2025","4,394.722","4,299.730","4,395.829","4,296.007","","2.21%"
"07/31/2025","4,299.852","4,292.106","4,326.318","4,289.670","","0.24%"
"07/30/2025","4,289.586","4,343.024","4,350.833","4,265.295","","-1.23%"
"07/29/2025","4,342.902","4,320.988","4,349.362","4,315.495","","0.46%"
"07/28/2025","4,322.945","4,346.438","4,361.596","4,306.073","","-0.51%"
"07/27/2025","4,345.235","4,335.109","4,350.447","4,318.253","","-0.15%"
"07/25/2025","4,351.633","4,394.918","4,395.202","4,335.584","","-0.94%"
"07/24/2025","4,392.780","4,409.150","4,432.094","4,361.700","","-0.37%"
"07/23/2025","4,408.947","4,456.211","4,470.272","4,398.392","","-1.06%"
"07/22/2025","4,456.211","4,412.181","4,464.454","4,396.808","","1.00%"
"07/21/2025","4,412.072","4,350.504","4,420.336","4,348.767","","1.42%"
"07/20/2025","4,350.504","4,350.353","4,352.238","4,345.203","","-0.04%"
"07/18/2025","4,352.395","4,334.178","4,363.760","4,325.258","","0.42%"
"07/17/2025","4,334.138","4,330.901","4,338.241","4,286.940","","0.07%"
"07/16/2025","4,330.901","4,311.295","4,369.778","4,296.750","","0.46%"
"07/15/2025","4,311.255","4,326.918","4,353.054","4,294.073","","-0.36%"
"07/14/2025","4,326.701","4,355.154","4,363.330","4,313.531","","-0.66%"
"07/13/2025","4,355.235","4,349.575","4,363.579","4,345.317","","0.44%"
"07/11/2025","4,336.214","4,291.824","4,349.528","4,291.579","","1.04%"
"07/10/2025","4,291.381","4,272.242","4,295.626","4,264.916","","0.46%"
"07/09/2025","4,271.878","4,253.644","4,275.173","4,227.083","","0.43%"
"07/08/2025","4,253.603","4,290.317","4,296.042","4,230.036","","-0.91%"
"07/07/2025","4,292.723","4,276.431","4,303.275","4,238.338","","0.40%"
"07/06/2025","4,275.628","4,289.591","4,296.267","4,273.058","","0.00%"
"07/04/2025","4,275.440","4,265.085","4,285.679","4,258.497","","0.24%"
"07/03/2025","4,265.292","4,298.276","4,314.300","4,243.863","","-0.75%"
"07/02/2025","4,297.465","4,276.385","4,318.767","4,260.606","","0.47%"
"07/01/2025","4,277.214","4,242.716","4,301.957","4,239.563","","0.85%"
"06/30/2025","4,241.117","4,186.547","4,241.834","4,181.488","","1.29%"
"06/29/2025","4,187.025","4,207.394","4,207.394","4,166.662","","-0.31%"
"06/27/2025","4,200.042","4,249.853","4,252.019","4,175.443","","-1.29%"
"06/26/2025","4,254.756","4,261.735","4,284.807","4,233.000","","-0.35%"
"06/25/2025","4,269.573","4,238.524","4,269.772","4,233.082","","0.72%"
"06/24/2025","4,239.229","4,267.928","4,275.585","4,198.842","","-0.81%"
"06/23/2025","4,273.863","4,308.544","4,334.260","4,273.863","","-0.80%"
"06/22/2025","4,308.544","4,334.117","4,336.203","4,306.843","","0.28%"
"06/20/2025","4,296.461","4,297.843","4,325.296","4,261.922","","-0.02%"
"06/19/2025","4,297.525","4,290.546","4,330.606","4,257.498","","0.24%"
